throughput,findClus,kernelLineFit3,kernelLineFit4,kernel_connect,getHits,kernel_find_ntuplets,fishbone,clusterChargeCut,calibDigis,kernelLineFit5,kernel_fillHitDetIndices,kernel_earlyDuplicateRemover,kernel_countMultiplicity,kernel_fastDuplicateRemover,kernel_countHitInTracks,kernel_doStatsForTracks
1219.18,96,224,64,128,128,64,32,32,64,96,32,224,256,192,224,96
1188.41,64,96,192,160,192,96,160,192,256,256,64,96,160,192,96,256
1175.19,256,128,256,192,128,32,64,224,224,192,160,256,128,32,64,128
1217.74,128,32,128,128,128,64,128,64,224,256,224,96,96,192,128,96
1162.92,192,256,160,224,256,32,160,32,64,192,32,256,256,96,128,64
1207.45,64,256,224,256,64,160,96,96,128,96,192,64,192,192,160,96
1152.73,128,64,64,128,192,256,256,256,256,160,96,32,224,224,64,128
1119.24,224,32,256,64,128,224,224,96,256,96,192,192,256,192,224,128
1192.69,256,128,256,192,128,96,32,256,64,32,160,160,128,32,256,192
1175.98,224,96,192,64,64,32,128,64,64,128,192,128,96,128,32,256
1184.77,64,96,96,64,128,32,128,32,192,128,64,192,96,224,224,160
1152.83,192,96,96,192,64,256,192,96,64,224,32,32,64,160,32,192
1188.25,192,192,96,224,192,64,256,256,64,192,64,64,192,64,224,32
1156.81,64,64,192,64,192,256,192,256,64,192,192,192,256,256,64,224
1163.21,128,160,32,64,64,192,224,160,256,224,192,192,192,256,128,96
1166.19,224,160,96,224,64,96,192,64,96,224,256,160,256,256,64,96
1166.6,224,96,256,96,64,64,64,160,256,256,32,32,64,256,32,64
1179.01,192,160,96,128,64,192,32,192,128,128,32,256,32,64,192,64
1220.02,128,256,128,224,64,32,64,224,32,192,128,128,32,224,128,64
1146.7,128,128,256,224,64,256,64,224,256,32,96,64,224,128,256,160
1195.1,128,128,224,256,128,64,224,160,160,256,32,192,256,128,128,64
1176.38,64,96,160,192,256,128,128,224,256,96,32,224,128,192,128,256
1149.68,256,64,256,224,64,192,128,256,96,64,256,224,160,256,64,160
1199.95,64,256,128,160,256,96,160,256,96,32,32,224,32,224,96,96
1153.95,224,160,192,64,192,128,224,256,160,32,128,160,128,64,192,224
1175.78,256,256,128,32,128,192,64,128,32,256,192,128,224,64,256,160
1124.1,256,96,160,192,192,224,32,32,32,128,224,64,96,256,192,224
1156.05,224,192,192,32,64,160,160,224,64,256,256,32,256,192,128,192
1168.61,224,224,96,256,64,160,64,224,96,96,224,128,192,64,32,96
1207.49,192,224,96,192,192,96,96,96,32,160,256,192,96,96,224,256
